Name,Price,Rating,Stars
موبايل سامسونج جالاكسي A05 LTE بشريحتي اتصال، نظام تشغيل اندرويد، سعة تخزينية 128 جيجابايت، ذاكرة رام 6 جيجابايت، فضي,"5,999.‎",36,3.6 من 5 نجوم
موبايل ريدمي نوت 13 بشريحتين اتصال وذاكرة رام 8 جيجابايت وذاكرة ROM‏ 128 جيجابايت (6.67 بوصة) (شبكة الجيل الرابع 4G) (اسود ميدنايت),"8,499.‎",38,4.1 من 5 نجوم
جراب حماية ارمور متين وشديد التحمل من الدرجة العسكرية مضاد للصدمات ومقاوم لبصمات الاصابع مع مسند حلقي مغناطيسي لموبايل ايفون 14 برو ماكس من لينوك (14 برو ماكس)، البولي يوريثين الحراري، أسود,299.‎,11,4.1 من 5 نجوم
موبايل شاومي ريدمي نوت 13 برو بلس شبكة الجيل الخامس والرابع 5G + 4G (512GB + 12GB) كاميرا ثلاثية 6.66 بوصة 200 ميجابكسل مع إصدار نوم + (حزمة شاحن سريع مزدوج للسيارة)-أبيض موون لايت - ذاكرة روم عالمية,"19,790.‎",62,4.0 من 5 نجوم
جراب حماية صلب ارمور متوافق مع موبايل ايفون 14 من سبايجن - اسود مطفي، البولي يوريثين الحراري,"1,000.‎",199,4.5 من 5 نجوم
مصحف الزهراوان في متشابهات القرآن .. حجم 14*20,285.‎,من,
شنطة ظهر رفيعة للجنسين من اوكتوبوس,399.‎,,
بنطلون رياضي للاطفال من الجنسين من ريد كوتون (عبوة من قطعة واحدة),229.‎,20,4.0 من 5 نجوم
جوال سامسونج جالكسي A05s الذكي بنظام اندرويد، ثنائي شرائح الاتصال، ال تي اي، ذاكرة رام 4 جيجا، تخزين 128 جيجا، فضي,"5,390.‎",257,4.0 من 5 نجوم
شاحن باور بانك محمول 20000 مللي امبير في الساعة مع كيبل USB-C مدمج وبطارية شحن سريع 87 واط و2 USB-C و1 USB-A، لأجهزة ماك بوك آيفون 15/14، سامسونج سويتش والمزيد من انكر,"5,999.‎",243,4.6 من 5 نجوم
جوال سامسونج جالكسي ايه 15 ثنائي شرائح الاتصال بذاكرة رام 4 جيجابايت وروم 128 جيجابايت (6.5 بوصة) (4G LTE) - (اصفر),"6,200.‎",930,3.9 من 5 نجوم
موبايل سامسونج جالاكسي A15، شريحتين اتصال، ذاكرة رام سعة 4 جيحابايت، وذاكرة ROM سعة 128 جيجابايت (6.5 بوصة) (شبكة الجيل الرابع 4G LTE) - (أزرق فاتح),"6,299.‎",930,3.9 من 5 نجوم
موبايل ريدمي 12 هايبرد بشريحتين اتصال وذاكرة Ram سعة 8 جيجابايت وذاكرة ROM سعة 256 جيجابايت (6.79 بوصة) (4G LTE) - (أزرق سماوي),"7,490.‎",50,4.1 من 5 نجوم
موبايل ريدمي A3 شبكة الجيل الرابع 4G، شريحتين اتصال وكاميرا مزدوجة، ذاكرة رام 3 جيجابايت، تخزين 64 جيجابايت، شاشة HD عالية الدقة 90 هرتز 6.71 بوصة، بطارية 5000 مللي أمبير في الساعة، أزرق,"4,099.‎",15,3.3 من 5 نجوم
حافظة بطارية من فكرا لموبايل ايفون 14 برو ماكس/ ايفون 14 بلس، 4500 مللي أمبير في الساعة، جراب حماية محمول قابل لإعادة الشحن بظهر ممتد لموبايل ايفون 14 برو ماكس، 6.7 انش، بلاستيك، أسود,999.‎,2,5.0 من 5 نجوم
موبايل ريلمي C67 ثنائي شرائح الاتصال بذاكرة روم 256 جيجابايت وذاكرة RAM 8 جيجابايت (جي اس ام فقط | بدون سي دي ام ايه) هاتف ذكي 4G/LTE مفتوح من المصنع (صني اويسيس) - اصدار عالمي,"7,430.‎",83,4.2 من 5 نجوم
موبايل سامسونج جالاكسي A15، شريحتين اتصال، ذاكرة RAM سعة 6 جيحا، وذاكرة ROM سعة 128 جيجا (6.5 بوصة) (4G LTE) - (أزرق فاتح),,930,3.9 من 5 نجوم
سي جي موبايل. حافظة شفافة مزدوجة الطبقات من ايه ام جي بنمط علم مربعات/حماية من الصدمات/مضادة للانفجار/مضادة للسقوط/مضادة للخدش متوافقة مع ايفون 14 بلس 6.7 بوصة (احمر),550.‎,,
شاشة حماية زجاجية للخصوصية لموبايل ابل ايفون 14 برو ماكس 6.7 بوصة بدرجة صلابة 9 ودرجة امالة 10 دي بتغطية كاملة مضادة للانفجار، أسود,62.‎,23,3.7 من 5 نجوم
دلـع موبايلك جراب رفيع لموبايل ايفون 14 (6.1 انش) مع واقي عدسة كاميرا مدمج، غطاء حماية كامل رفيع للغاية وخفيف الوزن بلمسة نهائية غير لامعة (اسود),350.‎,,
شاحن USB نوع C انكار 535 من جان برايم بقدرة 65 وات، شاحن سريع وصغير بعدد 3 منافذ لماك بوك برو/اير وايباد برو وجالكسي S24/S23 وايفون 15 14 13/برو وبيكسل وغيرها من الموبايلات,"1,599.‎",,
هاتف ريلمي 12 برو بلس 5G ثنائي شرائح الاتصال 12 جيجا رام 512 جيجا - اصدار الشرق الاوسط (نافيجيتور بيج),"19,400.‎",6,3.4 من 5 نجوم
موبايل ريدمي 13C بشريحتين اتصال، ذاكرة رام 8 جيجا + ذاكرة تخزين داخلية 256 جيجا (6.74 بوصة) (شبكة الجيل الرابع 4G) - (أزرق داكن),"6,299.‎",50,3.7 من 5 نجوم
موبايل ريدمي 13C بشريحتين اتصال وذاكرة رام 4 جيجابايت وذاكرة ROM سعة 128 جيجابايت (مقاس شاشة 6.74 بوصة) (شبكة الجيل الرابع 4G ) - (لون أسود ميدنايت),"5,319.‎",50,3.7 من 5 نجوم
سي جي موبايل. حافظة حماية لامعة من البولي كربونات والبولي يوريثين الحراري مع شعار معدني بتصميم جذاب ومضاد للصدمات ومضاد للانزلاق وواقي فائق الحماية متوافق مع ايفون 14 بلس من جيس (ذهبي),550.‎,18,4.9 من 5 نجوم
جراب شفاف بحواف ملونة متوافق مع ايفون 14 برو 6.1، حلقة مغناطيسية للحماية من السقوط من الدرجة العسكرية، سيليكون,464.‎,تبقى 2 فقط - اطلبه الآن.,
جراب للهاتف من Next Store كفر موبايل شفاف مزدوج الطبقات، متوافق مع هاتف iPhone 14 Pro Max ، فريم قوي ومطاطي مانع للصدمات والخدوش (شفاف)، حافظة بسيطة، سيليكون,380.‎,,
شاشة حماية من الزجاج المقوى للخصوصية ثلاثية الابعاد 3D بدرجة صلابة 9H باطار سهل التركيب لموبايل ايفون 13 برو ماكس / 11 برو ماكس / 12 برو / 12 برو ماكس (ايفون 14 برو)، شفاف,270.‎,131,3.8 من 5 نجوم
جراب موبايل مغناطيسي لموبايل ايفون 14 برو من ال بي اتش متوافق مع ماج سيف للشحن اللاسلكي بتصميم حماية من السقوط وحواف مرتفعة، جراب حماية خلفي شفاف بلون أرجواني داكن,175.‎,تبقى 1 فقط - اطلبه الآن.,
ريدمي نوت 13 (ذاكرة رام 8 جيجابايت وذاكرة تخزين 256) - كاميرا ثلاثية فائقة الوضوح بدقة 108 ميجابكسل | شاشة FHD 120Hz + AMOLED رؤية غامرة مع حواف رفيعة للغاية مستشعر بصمة امن داخل الشاشة أخضر بشريحتين,"8,990.‎",92,4.0 من 5 نجوم
جراب سيليكون بشكل حلوى ثلاثية أبعاد 3D لموبايل ايفون 15 برو ماكس|15 برو|15|14 برو ماكس|14 برو|14/13|13 برو ماكس|13 برو|12 برو ماكس|12/12 برو|11 برو ماكس|11 برو/11 (توم وجيري رمادي، ايفون 14 برو ماكس),249.‎,1,5.0 من 5 نجوم
,,14 pro,
,,,
,,,
تحقّق من صفحة كل منتج من أجل خيارات الشراء الأخرى. قد يختلف السعر والتفاصيل الأخرى حسب مقاس المنتج ولونه.,,تحقّق من صفحة كل منتج من أجل خيارات الشراء الأخرى. قد يختلف السعر والتفاصيل الأخرى حسب مقاس المنتج ولونه.,
كارت ذاكرة فلاش بمنفذ USB بسعة 16 جيجابايت من هيكفيجن -HS -M200(اس تي دي)/16 جيجابايت، سعة 1.0 GB، من هايكفيجين,99.‎,"2,919",3.8 من 5 نجوم
ذاكرة بيانات USB 16 جيجابايت من هيكفيجن - M200S(قياسية)/16 جيجابايت، سعة 16.0 GB، من هايكفيجين,115.‎,607,3.9 من 5 نجوم
لينوفو لابتوب ثينك باد E14 الجيل الخامس 14 انش WUXGA - انتل كور i7-1355U، ذاكرة رام 24 جيجا (16 جيجا + 8 جيجا ملحوم)، 512 جيجا اس اس دي، ويندوز 11 برو - اسود (21JKCTO1WWCA1),"64,999.‎",تبقى 4 فقط - اطلبه الآن.,
,,,
كمبيوتر محمول للألعاب فيكتوس من اتش بي وحدة المعالجة المركزية: 7 أنوية 13700H ذاكرة 16GB، DDR5 2DM 5200، الشاشة: 16.1 بوصة QHD مضادة للتوهج IPS درجة سطوع 300 nits و240هرتز، 1TB ويندوز 11(16-r0067ne),"59,999.‎",,
ذاكرة لاب توب كروشال، 16 جيجابايت، ذاكرة رام دي دي ار 4، 3200 ميجاهرتز، سي ال 22، CT16G4SFRA32A، سعة 16.0 GB، اس او-ديم,"1,708.‎","14,330",4.7 من 5 نجوم
لاب توب فيكتس للألعاب i5-12450H ثماني النواة الجيل 12 رام 16 جيجا هارد 512 جيجا انفيديا جي فورس جي تي اكس 1650 4 GDDR6 جيجا شاشة 15.6 FHD 144 هرتز كيبورد بإضاءة خلفية ويندوز 11 من اتش بي، فضي ميكا,"33,999.‎",,
لابتوب اتش بي انفي x360 2 في 1 بشاشة 14 بوصة ومعالج انتل كور i7-1355U جيل 13 10 نواة وذاكرة RAM 16GB وSSD 1TB وبطاقة عرض مرئي انتل ايريس Xe وشاشة FHD 14 بوصة (1920×1080) IPS متعدد اللمس وبصمة اصبع,"54,999.‎",سعر القائمة:,
اسس لابتوب فيفو بوك اس 15 OLED K5504VA-MA007W انتل كور i7-13700H 16GB LPDDR5 RAM 512GB SSD 15.6 انش شاشة OLED 3K ويندوز 11 هوم، ازرق سولار,"37,499.‎",12,4.2 من 5 نجوم
لاب توب ألعاب فيكتس 15-fb0034ne رايزن 7-5800H من اتش بي، ذاكرة رام 16 جيجا، هارد SSD 512 جيجا، انفيديا RTX 3050 4 جيجا GDDR6، شاشة 15.6 بوصة FHD (1920x1080) ، لوحة المفاتيح باضاءة خلفية، فضي ميكا,"44,999.‎",,
وحدة ذاكرة رام فيوري بيست من كينجستون بسعة 16 جيجابايت وسرعة 3200 ميجاهرتز DDR4 CL16، ذاكرة فردية للكمبيوتر المكتبي - KF432C16BBA/16، سعة 16.0 GB,"2,499.‎",764,4.8 من 5 نجوم
لاب توب لينوفو للألعاب LOQ 15IRH8 انتل كور i7-13620H 10 أنوية، شريحة الذكاء الاصطناعي: LA1 انفيديا جيفورس 6 جيجا RTX 4050 GDDR6 رام DDR5 16 جيجا SSD 512 جيجا 15.6 بوصة FHD (1920x1080) IPS 350 نيت 144,"53,999.‎",14,4.4 من 5 نجوم
